ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Efficiency
Mazowe,ZW1204,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mazowe,0.318824
Mberengwa,ZW1706,Midlands,ZW17,Zimbabwe,ZW,Midlands,Mberengwa,0.366466
Mbire,ZW1208,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mbire,0.339741
Mhondoro-Ngezi,ZW1427,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Mhondoro-Ngezi,0.55462
Mount Darwin,ZW1205,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mountt Darwin,0.567947
Mudzi,ZW1305,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Madzi,0.05476
Murehwa,ZW1306,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Murehwa,0.034639
Mutare,ZW1105,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutare Rural,0.544956
Mutare Urban,ZW1121,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutare Urban,0.365819
Mutasa,ZW1106,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutasa,0.127763
Mutoko,ZW1307,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Mutoko,0.633378
Mvurwi,ZW1209,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mvuri,0.168494
Mwenezi,ZW1806,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Mwezeni,0.48148
Nkayi,ZW1505,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Nkayi,0.263443
Norton,ZW1425,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Norton,0.324279
Nyanga,ZW1107,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Nyanga,0.276184
Plumtree,ZW1623,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Plumtree,0.229756
Redcliff,ZW1723,Midlands,ZW17,Zimbabwe,ZW,Midlands,Redcliff,0.293855
Rusape,ZW1122,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Rusape,0.437442
Rushinga,ZW1206,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Rushinga,0.069404
Ruwa,ZW1326,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Ruwa Local Board,0.336044
Sanyati,ZW1428,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Sanyati,0.540056
Seke,ZW1308,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Seke,0.502831
Shamva,ZW1207,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Shamva,0.433486
Shurugwi,ZW1707,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Rural,0.60219
Shurugwi Town,ZW1728,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Town,0.370636
Tsholotsho,ZW1506,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Tsholotsho,0.151429
Umguza,ZW1507,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Umguza,0.339283
Umzingwane,ZW1607,Matabeleland South,ZW16,Zimbabwe,ZW,Mashonaland East,UMP,0.29618
Uzumba Maramba Pfungwe,ZW1309,Mashonaland East,ZW13,Zimbabwe,ZW,Matabeleland South,Umzingwane,0.261511
Victoria Falls,ZW1522,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Victoria Falls,0.217159
Zaka,ZW1807,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Zaka,0.327042
Zvimba,ZW1406,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Zwinba,0.17914
Zvishavane,ZW1708,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Rural,0.469257
Zvishavane Urban,ZW1725,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Urban,0.443137
