,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Districts,Ward,Male Population,Female Population,Total Population
Chegutu Rural,Ward 21,3140,3018,6158
Chegutu Rural,Ward 22,6715,6347,13062
Chegutu Rural,Ward 23,3834,3828,7662
Chegutu Rural,Ward 24,4969,4699,9668
Chegutu Rural,Ward 25,4393,3778,8171
Chegutu Rural,Ward 26,2131,1909,4040
Chegutu Rural,Ward 27,1608,1712,3320
Chegutu Rural,Ward 28,2344,2226,4570
Chegutu Rural,Ward 29,2270,2013,4283
Chegutu Rural,Total,89623,89283,178906
Hurungwe,Ward 01,8716,8379,17095
Hurungwe,Ward 02,6764,6526,13290
Hurungwe,Ward 03,5815,5516,11331
Hurungwe,Ward 04,5223,5160,10383
Hurungwe,Ward 05,6134,6601,12735
Hurungwe,Ward 06,10871,10281,21152
Hurungwe,Ward 07,8982,8790,17772
Hurungwe,Ward 08,9340,9425,18765
Hurungwe,Ward 09,13897,13860,27757
Hurungwe,Ward 10,5004,5417,10421
Hurungwe,Ward 11,7955,8536,16491
Hurungwe,Ward 12,4671,4900,9571
Hurungwe,Ward 13,11963,12411,24374
Hurungwe,Ward 14,14332,14807,29139
Hurungwe,Ward 15,3611,3680,7291
Hurungwe,Ward 16,9509,9967,19476
Hurungwe,Ward 17,4563,4661,9224
Hurungwe,Ward 18,7509,7109,14618
Hurungwe,Ward 19,7126,6720,13846
Hurungwe,Ward 20,5660,5307,10967
Hurungwe,Ward 21,6479,6207,12686
Hurungwe,Ward 22,9929,9823,19752
Hurungwe,Ward 23,3992,4081,8073
Hurungwe,Ward 24,5756,6012,11768
Hurungwe,Ward 25,7666,8280,15946
Hurungwe,Ward 26,3463,3521,6984
Hurungwe,Total,194930,195977,390907
Mhondoro Ngezi,Ward 01,1895,2368,4263
Mhondoro Ngezi,Ward 02,963,1120,2083
Mhondoro Ngezi,Ward 03,1130,1250,2380
Mhondoro Ngezi,Ward 04,2292,2651,4943
Mhondoro Ngezi,Ward 05,2989,3271,6260
Mhondoro Ngezi,Ward 06,2345,2629,4974
Mhondoro Ngezi,Ward 07,872,1012,1884
Mhondoro Ngezi,Ward 08,1326,1488,2814
Mhondoro Ngezi,Ward 09,2625,2812,5437
Mhondoro Ngezi,Ward 10,1818,1920,3738
Mhondoro Ngezi,Ward 11,13082,11977,25059
Mhondoro Ngezi,Ward 12,6180,6164,12344
Mhondoro Ngezi,Ward 13,13911,11816,25727
Mhondoro Ngezi,Ward 14,12267,10960,23227
Mhondoro Ngezi,Ward 15,3834,3906,7740
Mhondoro Ngezi,Ward 16,4076,4042,8118
Mhondoro Ngezi,Total,71605,69386,140991
Kariba Rural,Ward 01,458,400,858
Kariba Rural,Ward 02,1361,1195,2556
Kariba Rural,Ward 03,3329,3552,6881
Kariba Rural,Ward 04,3168,3485,6653
Kariba Rural,Ward 05,1354,1563,2917
Kariba Rural,Ward 06,909,1021,1930
Kariba Rural,Ward 07,881,924,1805
Kariba Rural,Ward 08,3100,3469,6569
Kariba Rural,Ward 09,1561,1544,3105
Kariba Rural,Ward 10,931,1057,1988
Kariba Rural,Ward 11,1596,1633,3229
Kariba Rural,Ward 12,3879,3404,7283
Kariba Rural,Total,22527,23247,45774
Makonde,Ward 01,6127,5977,12104
Makonde,Ward 02,9654,9229,18883
Makonde,Ward 03,2683,2518,5201
Makonde,Ward 04,10388,10009,20397
Makonde,Ward 05,9216,8211,17427
Makonde,Ward 06,4755,4463,9218
Makonde,Ward 07,1952,2370,4322
Makonde,Ward 08,16367,16099,32466
Makonde,Ward 09,6252,5920,12172
Makonde,Ward 10,1628,1661,3289
Makonde,Ward 11,10033,10196,20229
Makonde,Ward 12,973,1002,1975
Makonde,Ward 13,5202,5091,10293
Makonde,Ward 14,2474,2591,5065
Makonde,Ward 15,2361,2418,4779
