ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,province,district,Potential
Mazowe,ZW1204,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mazowe,1426.569214
Mberengwa,ZW1706,Midlands,ZW17,Zimbabwe,ZW,Midlands,Mberengwa,336.519135
Mbire,ZW1208,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mbire,364.282166
Mhondoro-Ngezi,ZW1427,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Mhondoro-Ngezi,284.331085
Mount Darwin,ZW1205,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mountt Darwin,795.126465
Mudzi,ZW1305,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Madzi,571.892639
Murehwa,ZW1306,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Murehwa,439.675812
Mutare,ZW1105,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutare Rural,427.717957
Mutare Urban,ZW1121,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutare Urban,407.45636
Mutasa,ZW1106,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Mutasa,483.066895
Mutoko,ZW1307,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Mutoko,611.251953
Mvurwi,ZW1209,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Mvuri,6228.037109
Mwenezi,ZW1806,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Mwezeni,288.692963
Nkayi,ZW1505,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Nkayi,83.432236
Norton,ZW1425,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Norton,588.151794
Nyanga,ZW1107,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Nyanga,674.835876
Plumtree,ZW1623,Matabeleland South,ZW16,Zimbabwe,ZW,Matabeleland South,Plumtree,466.706635
Redcliff,ZW1723,Midlands,ZW17,Zimbabwe,ZW,Midlands,Redcliff,348.239624
Rusape,ZW1122,Manicaland,ZW11,Zimbabwe,ZW,Manicaland,Rusape,177.260162
Rushinga,ZW1206,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Rushinga,1133.758301
Ruwa,ZW1326,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Ruwa Local Board,601.518005
Sanyati,ZW1428,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Sanyati,204.011642
Seke,ZW1308,Mashonaland East,ZW13,Zimbabwe,ZW,Mashonaland East,Seke,648.060486
Shamva,ZW1207,Mashonaland Central,ZW12,Zimbabwe,ZW,Mashonaland Central,Shamva,562.387695
Shurugwi,ZW1707,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Rural,571.533508
Shurugwi Town,ZW1728,Midlands,ZW17,Zimbabwe,ZW,Midlands,Shurugwi Town,596.111938
Tsholotsho,ZW1506,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Tsholotsho,92.328865
Umguza,ZW1507,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Umguza,175.573364
Umzingwane,ZW1607,Matabeleland South,ZW16,Zimbabwe,ZW,Mashonaland East,UMP,928.887634
Uzumba Maramba Pfungwe,ZW1309,Mashonaland East,ZW13,Zimbabwe,ZW,Matabeleland South,Umzingwane,450.674286
Victoria Falls,ZW1522,Matabeleland North,ZW15,Zimbabwe,ZW,Matabeleland North,Victoria Falls,328.592926
Zaka,ZW1807,Masvingo,ZW18,Zimbabwe,ZW,Masvingo,Zaka,105.548393
Zvimba,ZW1406,Mashonaland West,ZW14,Zimbabwe,ZW,Mashonaland West,Zwinba,2244.808594
Zvishavane,ZW1708,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Rural,281.227325
Zvishavane Urban,ZW1725,Midlands,ZW17,Zimbabwe,ZW,Midlands,Zvishavane Urban,247.360504
